user_id,review_count,yelping_since,friend_count,fans,elite_count,average_stars,aggregate_compliments,compliment_photos
v7DwnrjzuTk7pXmuBPZnsg,39,2007-09-12 04:11:59,112,6,0,4.0,24,0
MGPQVLsODMm9ZtYQW-g_OA,1807,2008-01-19 22:50:00,6139,828,11,4.06,11912,470
4ZaqBJqt7laPPs8xfWvr6A,801,2008-08-16 22:43:21,492,75,13,3.41,296,10
NIhcRW6DWvk1JQhDhXwgOQ,2288,2005-12-30 13:47:19,998,345,17,3.69,4205,231
rppTTi-kfF8-qyiArNemag,460,2006-01-24 14:33:32,387,49,8,3.33,185,25
AkBtT43dYcttxQ3qOzPBAg,1034,2007-02-20 18:21:07,785,114,10,3.84,2522,50
rCedFOnskGvHQTprtA4-5g,108,2008-12-13 09:14:24,100,2,0,3.87,13,1
yzonmWerCPxEI3ROuk6caA,65,2008-06-21 02:48:36,32,5,1,3.57,17,0
IpLRJY4CP3fXtlEd8Y4GFQ,518,2009-04-11 14:35:46,605,35,3,2.95,158,6
2l0O1EI1m0yWjFo2zSt71w,2837,2005-07-02 01:59:55,5908,492,6,3.92,4965,258
OmjMNG77obZOKQ59o-Tx4Q,556,2008-11-16 05:10:49,416,31,7,3.85,224,4
LwZJFLGxQwjjeOgpqTJnfw,157,2010-09-21 18:14:11,294,5,0,3.63,18,5
0juMoWXC7z4c7LgQP2s3sA,199,2011-03-18 11:58:09,72,9,4,3.4,64,1
uVtkixXCP7LXRpC1EedGpA,77,2011-03-08 03:00:03,177,14,1,3.91,112,0
UQFE3BT1rsIYrcDvu_XVow,1560,2005-07-22 23:17:54,929,122,17,4.17,521,18
gRL9s6ENxV1qermRYDWjPQ,182,2010-08-18 05:34:05,113,12,4,3.8,250,0
0G-QF457q_0Z_jKqh6xWiA,2009,2008-03-12 19:13:45,6234,944,14,4.1,16674,462
ITa3vh5ERI90G_WP4SmGUQ,3193,2008-05-06 01:30:13,6417,2388,15,4.01,25906,682
8zkkuk8KOoNojZhTx0j5KA,159,2010-02-05 22:30:21,226,11,3,3.67,55,2
Q5jOFJYhIsN8ouJ1rnsLQQ,593,2006-06-21 20:03:01,151,36,10,3.79,397,3
ouODopBKF3AqfCkuQEnrDg,2108,2010-04-09 05:28:01,1141,134,13,3.57,530,6
-RApyq06DMBii7ovXtQnfw,1000,2010-07-13 01:21:32,710,87,10,3.66,115,17
8Akq8sh1LSmJbqa6Jjxxqg,376,2009-01-15 16:40:06,350,41,5,3.5,610,9
JC99U5y-KAchZIjBhf_DiQ,1186,2009-10-21 03:23:04,172,45,11,3.67,146,8
1ziEzn7BoXTfOQ4YBkdz1Q,703,2008-05-07 20:40:15,301,53,14,3.81,283,8
n0Qbz7LaA0r46x-N2gPXxQ,32,2008-09-05 02:59:09,9,0,0,3.6,10,0
